# Source: https://github.com/Wal33D/dtc-database
# Commit: 04c43d72e7db7197658b6f72fe582c5076d9eee8
# License: MIT
# Extracted: 2026-03-11T10:18:36Z
# Rows: 9390
B0081	AUDI	Wiring issues, Control module problems, A problem with the airbag
P1187	CHEVY	EOT Sensor Circuit Low Voltage
P1187	CHRYSLER	EOT Sensor Circuit Low Voltage
P1187	FORD	Variant Selection
P1187	GM	EOT Sensor Circuit Low Voltage
P1187	GMC	EOT Sensor Circuit Low Voltage
P1187	JAGUAR	O2 Sensor Heater Circuit Open, Inferred Fault
P1187	LINCOLN	Variant Selection
P1187	MERCURY	Variant Selection
P1187	OLDSMOBILE	EOT Sensor Circuit Low Voltage
P1187	OTHER	Variant Selection
P1187	SATURN	EOT Sensor Circuit Low Voltage
P1187	VOLKSWAGEN	Linear Oxygen Sensor Compensation Resistor Open
P1188	BMW	Fuel Control Bank 1 Sensor 1
P1188	BUICK	EOT Sensor Circuit High Voltage
P1188	CADILLAC	EOT Sensor Circuit High Voltage
P1188	CHEVY	EOT Sensor Circuit High Voltage
P1188	CHRYSLER	EOT Sensor Circuit High Voltage
P1188	FORD	Calibration Memory Fault
P1188	GM	EOT Sensor Circuit High Voltage
P1188	GMC	EOT Sensor Circuit High Voltage
P1188	JAGUAR	O2 Sensor Heater Circuit Resistance
P1188	LINCOLN	Calibration Memory Fault
P1188	MERCURY	Calibration Memory Fault
P1188	OLDSMOBILE	EOT Sensor Circuit High Voltage
P1188	OTHER	Calibration Memory Fault
P1188	SATURN	EOT Sensor Circuit High Voltage
P1188	VOLKSWAGEN	Linear Oxygen Sensor Compensation Resistor Short To Ground
P1189	BMW	Fuel Control Bank 2 Sensor 1
P1189	BUICK	Engine Oil Pressure Switch Circuit
P1189	CADILLAC	Engine Oil Pressure Switch Circuit
P1189	CHEVY	Engine Oil Pressure Switch Circuit
P1189	CHRYSLER	Engine Oil Pressure Switch Circuit
P1189	FORD	Pump Speed Signal Fault
P1189	GM	Engine Oil Pressure Switch Circuit
P1189	GMC	Engine Oil Pressure Switch Circuit
P1189	JAGUAR	O2 Sensor Heater Circuit Low Resistance Fault 1
P1189	LINCOLN	Pump Speed Signal Fault
P1189	MAZDA	Pump Speed Signal
P1189	MERCURY	Pump Speed Signal Fault
P1189	OLDSMOBILE	Engine Oil Pressure Switch Circuit
P1189	OTHER	Pump Speed Signal Fault
P1189	SATURN	Engine Oil Pressure Switch Circuit
P1189	VOLKSWAGEN	Linear Oxygen Sensor Compensation Resistor Short To B+
P1190	BMW	Pre-Catalyst Fuel Trim System Bank 1
P1190	BUICK	Engine Vacuum Leak
P1190	CADILLAC	Engine Vacuum Leak
P1190	CHEVY	Engine Vacuum Leak
P1190	CHRYSLER	Engine Vacuum Leak
P1190	FORD	Calibration Resistor Out Of Range
P1190	GM	Engine Vacuum Leak
P1190	GMC	Engine Vacuum Leak
P1190	JAGUAR	O2 Sensor Heater Circuit Low Resistance Fault 2
P1190	LINCOLN	Calibration Resistor Out Of Range
P1190	MAZDA	Calibration Resistor Out Of Range
P1190	MERCURY	Calibration Resistor Out Of Range
P1190	OLDSMOBILE	Engine Vacuum Leak
P1190	OTHER	Calibration Resistor Out Of Range
P1190	SATURN	Engine Vacuum Leak
P1190	VOLKSWAGEN	Linear Oxygen Sensor Reference Voltage Incorrect Signal
P1191	BMW	Pre-Catalyst Fuel Trim System Bank 2
P1191	BUICK	Intake Air Duct Air Leak
P1191	CADILLAC	Intake Air Duct Air Leak
P1191	CHEVY	Intake Air Duct Air Leak
P1191	CHRYSLER	Intake Air Duct Air Leak
P1191	FORD	Key Line Voltage
P1191	GM	Intake Air Duct Air Leak
P1191	GMC	Intake Air Duct Air Leak
P1191	JAGUAR	O2 Sensor Heater Circuit Open, HArdware Fault
P1191	LINCOLN	Key Line Voltage
P1191	MAZDA	TP Controlled Circuit
P1191	MERCURY	Key Line Voltage
P1191	OLDSMOBILE	Intake Air Duct Air Leak
P1191	OTHER	Key Line Voltage
P1191	SATURN	Intake Air Duct Air Leak
P1192	BMW	Post-Catalyst Fuel Trim System Bank 1
P1192	DODGE	Inlet Air Temp Circuit Low
P1192	FORD	Voltage External
P1192	JAGUAR	O2 Sensor Heater Circuit Shorted
P1192	JEEP	Inlet Air Temp. Circuit Low
P1192	LINCOLN	Voltage External
P1192	MERCURY	Voltage External
P1192	OTHER	Voltage External
P1192	PLYMOUTH	Inlet Air Temp Circuit Low
P1192	PONTIAC	Inlet Air Temp Circuit Low
P1193	BMW	Post-Catalyst Fuel Trim System Bank 2
P1193	DODGE	Inlet Air Temp Circuit High
P1193	FORD	EGR Drive Overcurrent
P1193	JAGUAR	O2 Sensor Heater Circuit Open, Inferred Fault
P1193	JEEP	Inlet Air Temp. Circuit High
P1193	LINCOLN	EGR Drive Overcurrent
P1193	MERCURY	EGR Drive Overcurrent
P1193	OTHER	EGR Drive Overcurrent
P1193	PLYMOUTH	Inlet Air Temp Circuit High
P1193	PONTIAC	Inlet Air Temp Circuit High
P1194	DODGE	Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194	FORD	ECU A/D Converter
P1194	JAGUAR	O2 Sensor Heater Circuit Resistance Fault
P1194	JEEP	Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194	LINCOLN	ECU A/D Converter
P1194	MAZDA	ECM PCM A D Converter
P1194	MERCURY	ECU A/D Converter
P1194	OTHER	ECU A/D Converter
P1194	PLYMOUTH	Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194	PONTIAC	Incorrect Or Irrational Performance Has Been Detected For The PWM
P1195	DODGE	O2 Sensor 1/1 Bank 1 Sensor 1 Slow During Catalyst Monitor
P1195	FORD	SCP HBCC Failed To Initialize
P1195	JAGUAR	O2 Sensor Heater Circuit Low Resistance Fault 1
P1195	JEEP	O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1195	KIA	EGR Boost Or Pressure Sensor Circuit Fault
P1195	LINCOLN	SCP HBCC Failed To Initialize
P1195	MAZDA	EGR Boost Sensor Circuit
P1195	MERCURY	SCP HBCC Failed To Initialize
P1195	OTHER	SCP HBCC Failed To Initialize
P1195	PLYMOUTH	O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1195	PONTIAC	O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1196	DODGE	O2 Sensor 2/1 Bank 2 Sensor 1 Slow During Catalyst Monitor
P1196	FORD	Key Off Voltage High
P1196	JAGUAR	O2 Sensor Heater Circuit Low Resistance Fault 2
P1196	JEEP	O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196	KIA	Ignition Switch Start Circuit Fault
P1196	LINCOLN	Key Off Voltage High
P1196	MAZDA	Ignition Switch Start Circuit
P1196	MERCURY	Key Off Voltage High
P1196	OTHER	Key Off Voltage High
P1196	PLYMOUTH	O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196	PONTIAC	O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196	VOLKSWAGEN	Oxygen Sensor Heater Circuit Bank 1 Sensor 1 Electrical Malfunction
P1197	DODGE	O2 Sensor 1/2 Bank 1 Sensor 2 Slow During Catalyst Monitor
P1197	FORD	Key Off Voltage Low
P1197	JEEP	O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197	LINCOLN	Key Off Voltage Low
P1197	MAZDA	Mileage Switch Circuit
P1197	MERCURY	Key Off Voltage Low
P1197	OTHER	Key Off Voltage Low
P1197	PLYMOUTH	O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197	PONTIAC	O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197	VOLKSWAGEN	Oxygen Sensor Heater Circuit Bank 2 Sensor 1 Electrical Malfunction
P1198	DODGE	Radiator Temperature Sensor Voltage Too High
P1198	FORD	Pump Rotor Control Underfueling
P1198	JAGUAR	Fuel Level Input Circuit High
P1198	JEEP	Radiator Temperature Sensor Voltage Too High
P1198	LINCOLN	Pump Rotor Control Underfueling
P1198	MERCURY	Pump Rotor Control Underfueling
P1198	OTHER	Pump Rotor Control Underfueling
P1198	PLYMOUTH	Radiator Temperature Sensor Voltage Too High
P1198	PONTIAC	Radiator Temperature Sensor Voltage Too High
P1198	VOLKSWAGEN	Oxygen Sensor Heater Circuit Bank 1 Sensor 2 Electrical Malfunction
P1199	DODGE	Radiator Temperature Sensor Voltage Too Low
P1199	JAGUAR	Fuel Level Input Circuit Low
P1199	JEEP	Radiator Temperature Sensor Voltage Too Low
P1199	OTHER	Fuel Level Input Circuit Low
P1199	PLYMOUTH	Radiator Temperature Sensor Voltage Too Low
P1199	PONTIAC	Radiator Temperature Sensor Voltage Too Low
P1199	VOLKSWAGEN	Oxygen Sensor Heater Circuit Bank 2 Sensor 2 Electrical Malfunction
P1200	BUICK	Injector Control Circuit
P1200	CADILLAC	Injector Control Circuit
P1200	CHEVY	Injector Control Circuit
P1200	CHRYSLER	Injector Control Circuit
P1200	GM	Injector Control Circuit
P1200	GMC	Injector Control Circuit
P1200	LEXUS	Fuel Pump Relay ECU Circuit Malfunction
P1200	OLDSMOBILE	Injector Control Circuit
P1200	OTHER	Injector Control Circuit
P1200	SATURN	Injector Control Circuit
P1200	TOYOTA	Fuel Pump Relay Circuit
P1201	ACURA	Cylinder 1 Misfire
P1201	BUICK	(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201	CADILLAC	(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201	CHEVY	(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201	CHRYSLER	(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201	GM	Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201	GMC	Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201	HONDA	Cylinder 1 Misfire
P1201	INFINITI	Cylinder 1 Misfire
P1201	JAGUAR	Cylinder 1 Injector Circuit Open/Shorted
P1201	OLDSMOBILE	Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201	OTHER	Injector Circuit Open / Shorted - Cylinder #1
P1201	SATURN	Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201	VOLKSWAGEN	Cylinder 1 Fuel Injector Circuit Electrical Malfunction
P1202	ACURA	Cylinder 2 Misfire
P1202	BUICK	(AlternativeFuel) Gas Mass Sensor Circuit Low Frequency
P1202	CADILLAC	(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202	CHEVY	(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202	CHRYSLER	(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202	GM	Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202	GMC	Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202	HONDA	Cylinder 2 Misfire
P1202	INFINITI	Cylinder 2 Misfire
P1202	JAGUAR	Cylinder 2 Injector Circuit Open/Shorted
P1202	OLDSMOBILE	Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202	OTHER	Injector Circuit Open / Shorted - Cylinder #2
P1202	SATURN	Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202	VOLKSWAGEN	Cylinder 2 Fuel Injector Circuit Electrical Malfunction
P1203	ACURA	Cylinder 3 Misfire
P1203	BUICK	(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203	CADILLAC	(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203	CHEVY	(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203	CHRYSLER	(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203	GM	Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203	GMC	Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203	HONDA	Cylinder 3 Misfire
P1203	INFINITI	Cylinder 3 Misfire
P1203	JAGUAR	Cylinder 3 Injector Circuit Open/Shorted
P1203	OLDSMOBILE	Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203	OTHER	Injector Circuit Open / Shorted - Cylinder #3
P1203	SATURN	Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203	VOLKSWAGEN	Cylinder 3 Fuel Injector Circuit Electrical Malfunction
P1204	ACURA	Cylinder 4 Misfire
P1204	HONDA	Cylinder 4 Misfire
P1204	INFINITI	Cylinder 4 Misfire
P1204	JAGUAR	Cylinder 4 Injector Circuit Open/Shorted
P1204	OTHER	Injector Circuit Open / Shorted - Cylinder #4
P1204	VOLKSWAGEN	Cylinder 4 Fuel Injector Circuit Electrical Malfunction
P1205	ACURA	Cylinder 5 Misfire
P1205	HONDA	Cylinder 5 Misfire
P1205	INFINITI	Cylinder 5 Misfire
P1205	JAGUAR	Cylinder 5 Injector Circuit Open/Shorted
P1205	OTHER	Injector Circuit Open / Shorted - Cylinder #5
P1205	VOLKSWAGEN	Cylinder 5 Fuel Injector Circuit Electrical Malfunction
P1206	ACURA	Cylinder 6 Misfire
P1206	HONDA	Cylinder 6 Misfire
P1206	INFINITI	Cylinder 6 Misfire
P1206	JAGUAR	Cylinder 6 Injector Circuit Open/Shorted
P1206	OTHER	Injector Circuit Open / Shorted - Cylinder #6
P1206	VOLKSWAGEN	Cylinder 6 Fuel Injector Circuit Electrical Malfunction
P1207	JAGUAR	Cylinder 7 Injector Circuit Open/Shorted
P1207	VOLKSWAGEN	Cylinder 7 Fuel Injector Circuit Electrical Malfunction
P1208	JAGUAR	Cylinder 8 Injector Circuit Open/Shorted
P1208	VOLKSWAGEN	Cylinder 8 Fuel Injector Circuit Electrical Malfunction
P1209	FORD	Injector Control Pressure System Fault
P1209	LINCOLN	Injector Control Pressure System Fault
P1209	MERCURY	Injector Control Pressure System Fault
P1209	OTHER	Injector Control Pressure System Fault
P1209	VOLKSWAGEN	Intake Valves For Cylinder Shut-Off Short Circuit To Ground
P1210	FORD	Injector Control Pressure Above Expected Level
P1210	LINCOLN	Injector Control Pressure Above Expected Level
P1210	MERCURY	Injector Control Pressure Above Expected Level
P1210	NISSAN	Traction Control System Signal Fault
P1210	OTHER	Injector Control Pressure Above Expected Level
P1210	VOLKSWAGEN	Intake Valves For Cylinder Shut-Off Short To B+
P1211	BUICK	Mass Air Flow Circuit Intermittent High
P1211	CADILLAC	Mass Air Flow Circuit Intermittent High
P1211	CHEVY	Mass Air Flow Circuit Intermittent High
P1211	CHRYSLER	Mass Air Flow Circuit Intermittent High
P1211	FORD	Injector Control Pressure Sensor Above Below Desired
P1211	GM	Mass Air Flow Circuit Intermittent High
P1211	GMC	Mass Air Flow Circuit Intermittent High
P1211	LINCOLN	Injector Control Pressure Sensor Above Below Desired
P1211	MERCURY	Injector Control Pressure Sensor Above Below Desired
P1211	NISSAN	ABS TCS Control Unit
P1211	OLDSMOBILE	Mass Air Flow Circuit Intermittent High
P1211	OTHER	Injector Control Pressure Sensor Above / Below Desired
P1211	SATURN	Mass Air Flow Circuit Intermittent High
P1211	VOLKSWAGEN	Intake Valves For Cylinder Shut-Off Open Circuit
P1212	BUICK	Mass Air Flow Circuit Intermittent Low
P1212	CADILLAC	Mass Air Flow Circuit Intermittent Low
P1212	CHEVY	Mass Air Flow Circuit Intermittent Low
P1212	CHRYSLER	Mass Air Flow Circuit Intermittent Low
P1212	FORD	Injector Control Pressure Not Detected During Crank
P1212	GM	Mass Air Flow Circuit Intermittent Low
P1212	GMC	Mass Air Flow Circuit Intermittent Low
P1212	LINCOLN	Injector Control Pressure Not Detected During Crank
P1212	MERCURY	Injector Control Pressure Not Detected During Crank
P1212	NISSAN	ABS TCS Communication Line
P1212	OLDSMOBILE	Mass Air Flow Circuit Intermittent Low
P1212	OTHER	Injector Control Pressure Not Detected During Crank
P1212	SATURN	Mass Air Flow Circuit Intermittent Low
P1213	FORD	Start Injector Circuit Malfunction
P1213	KIA	Fuel Injector 1 Circuit High Voltage
P1213	LINCOLN	Start Injector Circuit Malfunction
P1213	MAZDA	Start Injector Circuit
P1213	MERCURY	Start Injector Circuit Malfunction
P1213	OTHER	Start Injector Circuit Malfunction
P1213	VOLKSWAGEN	Cylinder 1 Fuel Injector Circuit Short To B+
P1214	BUICK	Injection Pump Timing Offset
P1214	CADILLAC	Injection Pump Timing Offset
P1214	CHEVY	Injection Pump Timing Offset
P1214	CHRYSLER	Injection Pump Timing Offset
P1214	FORD	Pedal Position Sensor B Circuit Intermittent
P1214	GM	Injection Pump Timing Offset
P1214	GMC	Injection Pump Timing Offset
P1214	KIA	Fuel Injector 2 Circuit High Voltage
P1214	LINCOLN	Pedal Position Sensor B Circuit Intermittent
P1214	MERCURY	Pedal Position Sensor B Circuit Intermittent
P1214	OLDSMOBILE	Injection Pump Timing Offset
P1214	OTHER	Pedal Position Sensor B Circuit Intermittent
P1214	SATURN	Injection Pump Timing Offset
P1214	VOLKSWAGEN	Cylinder 2 Fuel Injector Circuit Short To B+
P1215	BUICK	Ground Fault Detection Indicated
P1215	CADILLAC	Ground Fault Detection Indicated
P1215	CHEVY	Ground Fault Detection Indicated
P1215	CHRYSLER	Ground Fault Detection Indicated
P1215	FORD	Pedal Position Sensor C Circuit Low Input
P1215	GM	Ground Fault Detection Indicated
P1215	GMC	Ground Fault Detection Indicated
P1215	KIA	Fuel Injector 3 Circuit High Voltage
P1215	LINCOLN	Pedal Position Sensor C Circuit Low Input
P1215	MERCURY	Pedal Position Sensor C Circuit Low Input
P1215	OLDSMOBILE	Ground Fault Detection Indicated
P1215	OTHER	Pedal Position Sensor C Circuit Low Input
P1215	SATURN	Ground Fault Detection Indicated
P1215	VOLKSWAGEN	Cylinder 3 Fuel Injector Circuit Short To B+
P1216	BUICK	Fuel Solenoid Response Time Too Short
P1216	CADILLAC	Fuel Solenoid Response Time Too Short
P1216	CHEVY	Fuel Solenoid Response Time Too Short
P1216	CHRYSLER	Fuel Solenoid Response Time Too Short
P1216	FORD	Pedal Position Sensor C Circuit High Input
P1216	GM	Fuel Solenoid Response Time Too Short
P1216	GMC	Fuel Solenoid Response Time Too Short
P1216	KIA	Fuel Injector 4 Circuit High Voltage
P1216	LINCOLN	Pedal Position Sensor C Circuit High Input
P1216	MERCURY	Pedal Position Sensor C Circuit High Input
P1216	OLDSMOBILE	Fuel Solenoid Response Time Too Short
P1216	OTHER	Pedal Position Sensor C Circuit High Input
P1216	SATURN	Fuel Solenoid Response Time Too Short
P1216	VOLKSWAGEN	Cylinder 4 Fuel Injector Circuit Short To B+
P1217	BUICK	Fuel Solenoid Response Time Too Long
P1217	CADILLAC	Fuel Solenoid Response Time Too Long
P1217	CHEVY	Fuel Solenoid Response Time Too Long
P1217	CHRYSLER	Fuel Solenoid Response Time Too Long
P1217	FORD	Pedal Position Sensor C Circuit Intermittent
P1217	GM	Fuel Solenoid Response Time Too Long
P1217	GMC	Fuel Solenoid Response Time Too Long
P1217	LINCOLN	Pedal Position Sensor C Circuit Intermittent
P1217	MERCURY	Pedal Position Sensor C Circuit Intermittent
P1217	NISSAN	Engine Over Temperature Overheat
P1217	OLDSMOBILE	Fuel Solenoid Response Time Too Long
P1217	OTHER	Pedal Position Sensor C Circuit Intermittent
P1217	SATURN	Fuel Solenoid Response Time Too Long
P1217	VOLKSWAGEN	Cylinder 5 Fuel Injector Circuit Short To B+
P1218	BUICK	Injection Pump Calibration Circuit
P1218	CADILLAC	Injection Pump Calibration Circuit
P1218	CHEVY	Injection Pump Calibration Circuit
P1218	CHRYSLER	Injection Pump Calibration Circuit
P1218	FORD	CID High
P1218	GM	Injection Pump Calibration Circuit
P1218	GMC	Injection Pump Calibration Circuit
P1218	LINCOLN	CID High
P1218	MERCURY	CID High
P1218	OLDSMOBILE	Injection Pump Calibration Circuit
P1218	OTHER	CID High
P1218	SATURN	Injection Pump Calibration Circuit
P1218	VOLKSWAGEN	Cylinder 6 Fuel Injector Circuit Short To B+
P1219	BUICK	Throttle Position Sensor Refernce Voltage
P1219	CADILLAC	Throttle Position Sensor Reference Voltage
P1219	CHEVY	Throttle Position Sensor Reference Voltage
P1219	CHRYSLER	Throttle Position Sensor Reference Voltage
P1219	FORD	CID Low
P1219	GM	Throttle Position Sensor Reference Voltage
P1219	GMC	Throttle Position Sensor Reference Voltage
P1219	LINCOLN	CID Low
P1219	MERCURY	CID Low
P1219	OLDSMOBILE	Throttle Position Sensor Reference Voltage
P1219	OTHER	CID Low
P1219	SATURN	Throttle Position Sensor Refernce Voltage
P1219	VOLKSWAGEN	Cylinder 7 Fuel Injector Circuit Short To B+
P1220	BUICK	Throttle Position (TP) Sensor 2 Circuit
P1220	CADILLAC	Throttle Position (TP) Sensor 2 Circuit
P1220	CHEVY	Throttle Position (TP) Sensor 2 Circuit
P1220	CHRYSLER	Throttle Position (TP) Sensor 2 Circuit
P1220	FORD	Series Throttle Control Fault
P1220	GM	Throttle Position (TP) Sensor 2 Circuit
P1220	GMC	Throttle Position (TP) Sensor 2 Circuit
P1220	LINCOLN	Series Throttle Control Fault
P1220	MERCEDES	Fuel Quantity Actuator Y231
P1220	MERCURY	Series Throttle Control Fault
P1220	NISSAN	Fuel Pump Control Signal Fault
P1220	OLDSMOBILE	Throttle Position TP Sensor 2 Circuit
P1220	OTHER	Series Throttle Control System Malfunction
P1220	SATURN	Throttle Position TP Sensor 2 Circuit
P1220	VOLKSWAGEN	Cylinder 8 Fuel Injector Circuit Short To B+
P1221	BMW	Pedal Position Sensor 2 Range Performance Problem
P1221	BUICK	Throttle Position (TP) Sensor 1- 2 Correlation
P1221	CADILLAC	Throttle Position (TP) Sensor 1-2 Correlation
P1221	CHEVY	Throttle Position (TP) Sensor 1-2 Correlation
P1221	CHRYSLER	Throttle Position (TP) Sensor 1-2 Correlation
P1221	FORD	Traction Control System Malfunction
P1221	GM	Throttle Position (TP) Sensor 1 2 Correlation
P1221	GMC	Throttle Position (TP) Sensor 1 2 Correlation
P1221	JAGUAR	Pedal Demand Sensor B Circuit Range Performance
P1221	LINCOLN	Traction Control System Malfunction
P1221	MAZDA	Traction Control System
P1221	MERCEDES	CAN Communication ETC Or ETS Interrupted
P1221	MERCURY	Traction Control System Malfunction
P1221	OLDSMOBILE	Throttle Position TP Sensor 1-2 Correlation
P1221	OTHER	Traction Control System Malfunction
P1221	SATURN	Throttle Position TP Sensor 1-2 Correlation
P1222	BMW	Pedal Position Sensor 2 Low Input
P1222	BUICK	Injector Control Circuit Intermittent
P1222	CADILLAC	Injector Control Circuit Intermittent
P1222	CHEVY	Injector Control Circuit Intermittent
P1222	CHRYSLER	Injector Control Circuit Intermittent
P1222	FORD	Traction Control Output Circuit Malfunction
P1222	GM	Injector Control Circuit Intermittent
P1222	GMC	Injector Control Circuit Intermittent
P1222	LINCOLN	Traction Control Output Circuit Malfunction
P1222	MAZDA	Traction Control Output Circuit
P1222	MERCEDES	IFI Accelerator Pedal Position Sensor R252
P1222	MERCURY	Traction Control Output Circuit Malfunction
P1222	OLDSMOBILE	Injector Control Circuit Intermittent
P1222	OTHER	Traction Control Output Circuit Malfunction
P1222	SATURN	Injector Control Circuit Intermittent
P1223	BMW	Pedal Position Sensor 2 High Input
P1223	FORD	Pedal Demand Sensor B Circuit High Input
P1223	LINCOLN	Pedal Demand Sensor B Circuit High Input
P1223	MERCEDES	Fuel Rack Position Sensor Y2311
P1223	MERCURY	Pedal Demand Sensor B Circuit High Input
P1223	OTHER	Pedal Demand Sensor B Circuit High Input
P1224	FORD	Throttle Position Sensor B Out of Self-Test Range
P1224	JAGUAR	Electronic Throttle Control Position Error
P1224	LINCOLN	Throttle Position Sensor B Out of Self-Test Range
P1224	MERCURY	Throttle Position Sensor B Out of Self-Test Range
P1224	OTHER	Throttle Position Sensor B Out Of Self Test Range
P1225	BUICK	Injector Circuit Cylinder 2 Intermittent
P1225	CADILLAC	Injector Circuit Cylinder 2 Intermittent
P1225	CHEVY	Injector Circuit Cylinder 2 Intermittent
P1225	CHRYSLER	Injector Circuit Cylinder 2 Intermittent
P1225	GM	Injector Circuit Cylinder 2 Intermittent
P1225	GMC	Injector Circuit Cylinder 2 Intermittent
P1225	KIA	Fuel Injector 1 Circuit Low Voltage
P1225	OLDSMOBILE	Injector Circuit Cylinder 2 Intermittent
P1225	OTHER	Needle Lift Sensor Malfunction
P1225	SATURN	Injector Circuit Cylinder 2 Intermittent
P1225	VOLKSWAGEN	Cylinder 1 Injector Circuit Short To Ground
P1226	JAGUAR	Mechanical Guard Circuit Range Performance
P1226	KIA	Fuel Injector 2 Circuit Low Voltage
P1226	MAZDA	Control Sleeve Sensor Circuit
P1226	OTHER	Control Sleeve Sensor Malfunction
P1226	VOLKSWAGEN	Cylinder 2 Injector Circuit Short To Ground
P1227	FORD	Wastegate Failed Closed Over Pressure
P1227	JAGUAR	Mechanical Guard Circuit Low Input
P1227	KIA	Fuel Injector 3 Circuit Low Voltage
P1227	LINCOLN	Wastegate Failed Closed Over Pressure
P1227	MERCURY	Wastegate Failed Closed Over Pressure
P1227	OTHER	Wastegate Failed Closed (Over Pressure)
P1227	VOLKSWAGEN	Cylinder 3 Injector Circuit Short To Ground
P1228	BUICK	Injector Circuit Cylinder 3 Intermittent
P1228	CADILLAC	Injector Circuit Cylinder 3 Intermittent
P1228	CHEVY	Injector Circuit Cylinder 3 Intermittent
P1228	CHRYSLER	Injector Circuit Cylinder 3 Intermittent
P1228	FORD	Wastegate Failed Open Under Pressure
P1228	GM	Injector Circuit Cylinder 3 Intermittent
P1228	GMC	Injector Circuit Cylinder 3 Intermittent
P1228	JAGUAR	Mechanical Guard Circuit High Input
P1228	KIA	Fuel Injector 4 Circuit Low Voltage
P1228	LINCOLN	Wastegate Failed Open Under Pressure
P1228	MERCURY	Wastegate Failed Open Under Pressure
P1228	OLDSMOBILE	Injector Circuit Cylinder 3 Intermittent
P1228	OTHER	Wastegate Failed Open (Under Pressure)
